,Unnamed: 0,scale,path,psnr,ssim,lpips,chamfer
4469,4469,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Hayao_0_01501_s3,36.334723323998354,0.99860305,0.01424,5.1254865e-06
12435,12435,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_v2_6_02260_s2,37.28682245225851,0.9899057,0.01426,6.40264e-06
15313,15313,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_101457_s2,36.2483738331133,0.9902518,0.01428,7.585337e-06
15864,15864,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_198782_s2,35.958504343074075,0.99670184,0.01428,6.743835e-06
9261,9261,any,/root/autodl-tmp/animedata/train_10k/Disney_13_04265_s2,42.58955818984659,0.99486005,0.0143,8.176043e-06
16048,16048,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Japan_2_26495_s2,35.46419319795257,0.9929171,0.0143,8.175066e-06
8535,8535,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_0_12203_s2,43.41500264720205,1.0274297,0.01431,4.1959547e-06
10152,10152,any,/root/autodl-tmp/animedata/train_10k/Disney_26_01367_s2,37.79436900448126,0.9938046,0.01431,5.2121786e-06
16355,16355,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_84463_s2,35.975542901217395,0.9912948,0.01436,7.304439e-06
16489,16489,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_87549_s2,39.08368628108121,0.9882244,0.01436,7.2670755e-06
17597,17597,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_9_12996_s3,38.24509349469122,1.0034895,0.01436,4.268334e-06
9045,9045,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_12_01976_s1,38.18705063414022,0.9916642,0.01439,8.298786e-06
16125,16125,any,/root/autodl-tmp/animedata/train_10k/Japan_2_39769_s3,37.40930163984367,0.9994396,0.01439,6.30295e-06
8959,8959,any,/root/autodl-tmp/animedata/train_10k/Disney_11_02977_s2,38.17456452371714,0.9937475,0.014404,5.3509616e-06
17596,17596,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_9_12987_s3,37.46476926654572,1.004184,0.014404,4.07857e-06
12410,12410,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_v2_6_00233_s2,36.51388133924252,0.9886418,0.01444,6.4565656e-06
15545,15545,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_147059_s2,39.44733033908079,0.9914812,0.01446,9.717784e-06
15576,15576,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Japan_2_15155_s2,34.53500389013524,0.9877888,0.01448,8.248638e-06
10098,10098,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_23_01970_s2,36.98564756611306,0.99447465,0.01449,7.277793e-06
16126,16126,any,/root/autodl-tmp/animedata/train_10k/Japan_2_39778_s2,35.017986256709015,0.9961002,0.0145,7.4088325e-06
11362,11362,any,/root/autodl-tmp/animedata/train_10k/Disney_7_02448_s1,37.17977469872808,0.99607646,0.01451,1.0472958e-05
14401,14401,"(192, 384)",/root/autodl-tmp/animedata/train_10k/Japan_0_22280_s2,35.704639454169175,1.0000867,0.01452,5.919056e-06
16257,16257,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_2_69692_s2,35.24994096857666,1.0012634,0.01459,7.981436e-06
2694,2694,"(960, 1920)",/root/autodl-tmp/animedata/anime_dataset/3423,47.64722627034392,0.98394495,0.01464,2.9208481e-06
10054,10054,any,/root/autodl-tmp/animedata/train_10k/Disney_23_00619_s2,35.04736737243369,0.99097544,0.01465,9.2134105e-06
15678,15678,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_171433_s2,35.34672454945484,1.0303175,0.01465,5.7995485e-06
9262,9262,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_13_04273_s2,40.61916588976448,0.9936196,0.01467,8.832535e-06
16053,16053,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_26532_s2,36.1030208191423,0.992283,0.014694,8.7729895e-06
1045,1045,"(320, 640)",/root/autodl-tmp/animedata/anime_dataset/194,36.424928019372686,1.4333521,0.01471,2.46271e-06
15478,15478,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_13070_s3,32.64046677052762,0.98404974,0.01473,9.374891e-06
15497,15497,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_13528_s2,33.31047461939518,0.9880648,0.014755,5.8454275e-06
14893,14893,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_1_08325_s3,34.83534199827525,0.9871827,0.01476,7.057847e-06
16016,16016,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_23736_s3,29.98799862838176,0.9900051,0.01478,1.0188891e-05
5565,5565,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/6007,35.135595749113214,1.0054023,0.01486,4.3248483e-06
15657,15657,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_2_166757_s3,34.219735219585615,0.96653557,0.01488,5.2722153e-06
15445,15445,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_125359_s2,34.21176431979016,0.98739,0.014885,7.3286637e-06
10320,10320,any,/root/autodl-tmp/animedata/train_10k/Disney_26_00813_s2,34.6509645658633,0.98955035,0.01492,7.211975e-06
1213,1213,"(256, 512)",/root/autodl-tmp/animedata/anime_dataset/2090,40.83236784033223,0.99031556,0.014946,5.26337e-06
11560,11560,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_v2_11_00401_s2,34.26356955550282,0.9951537,0.014984,5.3775075e-06
